"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018- 11- 26","1,226.10","1,226.60","1,231.00","1,225.60","0.28K","-0.04%"
"2018- 11- 23","1,226.60","1,231.30","1,232.60","1,224.20","0.78K","0.28%"
"2018- 11- 22","1,223.20","1,227.80","1,229.20","1,220.30","240.35K","-0.65%"
"2018- 11- 21","1,231.20","1,225.70","1,232.90","1,223.60","0.22K","0.56%"
"2018- 11- 20","1,224.40","1,225.30","1,232.30","1,224.30","0.53K","-0.34%"
"2018- 11- 19","1,228.60","1,225.70","1,229.30","1,222.70","0.26K","0.18%"
"2018- 11- 16","1,226.40","1,217.30","1,229.10","1,217.30","0.87K","0.64%"
"2018- 11- 15","1,218.60","1,215.40","1,219.70","1,212.70","0.29K","0.40%"
"2018- 11- 14","1,213.80","1,206.70","1,217.50","1,202.50","0.18K","0.72%"
"2018- 11- 13","1,205.10","1,205.20","1,209.00","1,201.70","0.47K","-0.18%"
"2018- 11- 12","1,207.30","1,214.00","1,214.50","1,204.80","0.16K","-0.44%"
"2018- 11- 09","1,212.60","1,227.20","1,227.30","1,211.50","0.31K","-1.36%"
"2018- 11- 08","1,229.30","1,231.30","1,231.30","1,226.30","1.00K","-0.31%"
"2018- 11- 07","1,233.10","1,233.10","1,241.70","1,231.10","1.08K","0.21%"
"2018- 11- 06","1,230.50","1,235.70","1,241.10","1,230.60","0.98K","-0.46%"
"2018- 11- 05","1,236.20","1,233.80","1,237.60","1,233.80","0.70K","-0.06%"
"2018- 11- 02","1,237.00","1,240.70","1,240.70","1,240.70","0.82K","-0.36%"
"2018- 11- 01","1,241.50","1,219.00","1,228.40","1,219.00","0.06K","1.93%"
"2018- 10- 31","1,218.00","1,219.80","1,221.80","1,218.30","0.00K","-0.84%"
"2018- 10- 30","1,228.30","1,228.30","1,228.30","1,228.30","224.64K","0.06%"
"2018- 10- 29","1,227.60","1,236.40","1,237.60","1,226.10","234.29K","-0.66%"
"2018- 10- 26","1,235.80","1,234.70","1,246.00","1,232.50","315.69K","0.28%"
"2018- 10- 25","1,232.40","1,236.60","1,242.00","1,230.50","259.68K","0.11%"
"2018- 10- 24","1,231.10","1,233.80","1,238.00","1,228.30","211.48K","-0.46%"
"2018- 10- 23","1,236.80","1,225.10","1,243.00","1,224.50","288.38K","1.00%"
"2018- 10- 22","1,224.60","1,230.50","1,232.60","1,222.80","187.23K","-0.33%"
"2018- 10- 19","1,228.70","1,228.60","1,234.10","1,226.20","191.80K","-0.11%"
"2018- 10- 18","1,230.10","1,225.50","1,233.60","1,221.70","243.11K","0.22%"
"2018- 10- 17","1,227.40","1,228.00","1,232.90","1,223.70","235.33K","-0.29%"
"2018- 10- 16","1,231.00","1,230.50","1,235.90","1,226.30","242.42K","0.06%"
"2018- 10- 15","1,230.30","1,221.20","1,236.90","1,220.40","291.57K","0.68%"
"2018- 10- 12","1,222.00","1,227.70","1,228.10","1,219.30","318.23K","-0.46%"
"2018- 10- 11","1,227.60","1,197.90","1,230.00","1,194.70","531.78K","2.87%"
"2018- 10- 10","1,193.40","1,192.70","1,198.60","1,188.50","248.56K","0.16%"
"2018- 10- 09","1,191.50","1,192.20","1,195.80","1,186.60","243.86K","0.24%"
"2018- 10- 08","1,188.60","1,206.70","1,208.00","1,186.00","320.10K","-1.41%"
"2018- 10- 05","1,205.60","1,203.70","1,209.80","1,200.90","255.48K","0.33%"
"2018- 10- 04","1,201.60","1,201.40","1,210.70","1,199.60","290.84K","-0.11%"
"2018- 10- 03","1,202.90","1,207.00","1,212.30","1,200.40","255.07K","-0.34%"
"2018- 10- 02","1,207.00","1,192.70","1,212.30","1,192.20","365.32K","1.28%"
"2018- 10- 01","1,191.70","1,196.10","1,196.50","1,188.10","220.51K","-0.38%"
"2018- 09- 28","1,196.20","1,186.80","1,198.00","1,184.30","307.82K","0.74%"
"2018- 09- 27","1,187.40","1,198.90","1,202.60","1,185.60","351.05K","-0.79%"
"2018- 09- 26","1,196.90","1,203.00","1,203.90","1,193.00","0.44K","-0.47%"
"2018- 09- 25","1,202.50","1,200.20","1,204.60","1,198.90","0.13K","0.07%"
"2018- 09- 24","1,201.70","1,201.20","1,205.00","1,196.20","0.18K","0.26%"
